id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
11409532,"Cozy studio, parking included.",59898132,Leo,,Saint-Roch,46.81283,-71.22143,Entire home/apt,81,1,373,2022-11-24,4.57,1,36,30,
11471877,"Charming studio, great location. Parking available",60357298,Honoré,,Saint-Jean-Baptiste,46.81126,-71.21951,Entire home/apt,87,1,422,2022-11-24,5.19,1,58,74,
11520372,Nice cheap room !,14966026,Maxim,,Saint-Sauveur,46.80954,-71.24165,Private room,32,1,817,2022-11-25,10.07,3,74,104,
11638654,Luxury Condo with Indoor Parking,4440301,Margherita,,Saint-Roch,46.81231,-71.22755,Entire home/apt,87,31,6,2022-06-24,0.30,2,152,2,
11841682,Joli logement au centre-ville (QC),6257162,Anthony,,Saint-Sauveur,46.80658,-71.23723,Entire home/apt,90,2,8,2019-12-12,0.10,1,0,0,
11984216,1 BR perfect location w/ private parking,64051319,Christopher Karl,,Saint-Sauveur,46.811,-71.23345,Entire home/apt,94,1,187,2020-02-17,2.39,1,0,0,
11999256,Les Immeubles Charlevoix -  1174 - CITQ 244801,34462857,Les Immeubles Charlevoix Courtier,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81686,-71.20484,Entire home/apt,173,2,49,2022-10-01,0.62,59,350,4,
12019119,Central Old Port Québec,54237398,France Et Charles,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81728,-71.21194,Entire home/apt,130,4,241,2022-12-06,3.01,2,291,40,
12056620,Chambre privée dans une maison,6137330,André,,Sillery,46.78371,-71.25894,Private room,21,32,2,2022-05-13,0.08,3,233,1,
12066870,Chambre supérieure\ Superior room (CITQ 296358),3311965,Daniel,,Sillery,46.77808,-71.25813,Private room,80,1,254,2022-09-11,3.51,1,0,32,
12106523,The beautiful flower of Quebec City,64917103,Christine,,Saint-Sauveur,46.81256,-71.23422,Entire home/apt,108,1,289,2022-12-04,3.79,2,330,63,
12157383,Joli logement quartier recherché,1646154,Dimitri,,Des Châtels,46.84946,-71.3825,Entire home/apt,37,600,14,2017-12-31,0.18,9,284,0,
12564100,petit nid au coeur du vieux Québec,5076778,Ariane,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81047,-71.2086,Entire home/apt,25,60,112,2022-07-01,1.40,1,245,1,
12601502,"Old-Qc studio# 202 , all inclusive, parking $",49947368,Isabelle,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81194,-71.21204,Entire home/apt,74,30,14,2022-10-31,0.29,15,92,9,294607
12610216,Exclusive condo Vieux-Quebec,65629597,Nancy,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81424,-71.20854,Entire home/apt,60,65,8,2019-10-02,0.10,1,158,0,
12703333,Nid douillet au coeur de Limoilou   CITQ 308661,4217000,Mathieu & Maude Émilie,,Vieux-Limoilou,46.82904,-71.22998,Entire home/apt,130,2,117,2022-09-11,1.48,1,90,21,
12783946,Maison familiale au centre-ville,59391218,Ingrid,,Lairet,46.83705,-71.24082,Entire home/apt,125,3,6,2018-08-21,0.08,1,0,0,
